;t100;t900;a201
0;2021-01;334055.873;Convenience
1;2021-01;3330.297;Federwild
2;2021-01;3704981.482;Fisch
3;2021-01;1963161.672;Fleisch
4;2021-01;10507.2;Früchte
5;2021-01;1931400.79;Geflügel
6;2021-01;27260.5;Gemüse
7;2021-01;172322.149;Haarwild
8;2021-01;5357.15;Kolonialwaren
9;2021-01;6899.85;Konserven divers
10;2021-01;1202920.045;Krusten/Sch-Weichtie
11;2021-01;57446.574;Milchprodukte
12;2021-01;110;Non Food
13;2021-01;21896.789;Nordsee
14;2021-01;7574.8;Oel/Essig/Senf
15;2021-01;16075.26;Pasteten/Terrinen
16;2021-01;77138.31;Pilze
17;2021-01;976.8;Post/cargo
18;2021-01;67319.7;Teigw./Spätzli/Gnoc.
19;2021-02;0;Bofrost
20;2021-02;260513.982;Convenience
21;2021-02;3860.622;Federwild
22;2021-02;3570738.349;Fisch
23;2021-02;1861468.476;Fleisch
24;2021-02;12132.1;Früchte
25;2021-02;1658487.621;Geflügel
26;2021-02;29949.311;Gemüse
27;2021-02;90.342;Gesperrte Artikel
28;2021-02;172431.284;Haarwild
29;2021-02;6909.35;Kolonialwaren
30;2021-02;5348.8;Konserven divers
31;2021-02;1298184.379;Krusten/Sch-Weichtie
32;2021-02;71241.937;Milchprodukte
33;2021-02;145.6;Non Food
34;2021-02;14852.401;Nordsee
35;2021-02;9574.4;Oel/Essig/Senf
36;2021-02;23075.713;Pasteten/Terrinen
37;2021-02;95777.99;Pilze
38;2021-02;748.2;Post/cargo
39;2021-02;64728.08;Teigw./Spätzli/Gnoc.
40;2021-03;64852;Bofrost
41;2021-03;332994.522;Convenience
42;2021-03;2490.31;Federwild
43;2021-03;4055618.704;Fisch
44;2021-03;1910144.316;Fleisch
45;2021-03;15161.8;Früchte
46;2021-03;1885411.495;Geflügel
47;2021-03;33085.85;Gemüse
48;2021-03;114781.382;Haarwild
49;2021-03;5765.85;Kolonialwaren
50;2021-03;5532.9;Konserven divers
51;2021-03;1300139.474;Krusten/Sch-Weichtie
52;2021-03;69894.702;Milchprodukte
53;2021-03;2605.2;Non Food
54;2021-03;27680.109;Nordsee
55;2021-03;8470.5;Oel/Essig/Senf
56;2021-03;17495.227;Pasteten/Terrinen
57;2021-03;83108.266;Pilze
58;2021-03;814.95;Post/cargo
59;2021-03;0;Sponsoring
60;2021-03;67949.47;Teigw./Spätzli/Gnoc.
61;2021-04;15228.6;Bofrost
62;2021-04;342445.703;Convenience
63;2021-04;3264.832;Federwild
64;2021-04;4131580.101;Fisch
65;2021-04;1874605.218;Fleisch
66;2021-04;26759.3;Früchte
67;2021-04;1955451.233;Geflügel
68;2021-04;33151.2;Gemüse
69;2021-04;0;Gesperrte Artikel
70;2021-04;135153.142;Haarwild
71;2021-04;7164.55;Kolonialwaren
72;2021-04;6756.75;Konserven divers
73;2021-04;1425776.9;Krusten/Sch-Weichtie
74;2021-04;83176.224;Milchprodukte
75;2021-04;1975.2;Non Food
76;2021-04;18536.561;Nordsee
77;2021-04;9957.275;Oel/Essig/Senf
78;2021-04;12763.014;Pasteten/Terrinen
79;2021-04;86032.18;Pilze
80;2021-04;927.6;Post/cargo
81;2021-04;0;Sponsoring
82;2021-04;92701.18;Teigw./Spätzli/Gnoc.
83;2021-05;32216;Bofrost
84;2021-05;331773.825;Convenience
85;2021-05;5316.789;Federwild
86;2021-05;4161006.734;Fisch
87;2021-05;2058484.642;Fleisch
88;2021-05;11799.2;Früchte
89;2021-05;1909554.438;Geflügel
90;2021-05;38730.5;Gemüse
91;2021-05;0;Gesperrte Artikel
92;2021-05;142662.708;Haarwild
93;2021-05;6947.3;Kolonialwaren
94;2021-05;7186.55;Konserven divers
95;2021-05;1520743.609;Krusten/Sch-Weichtie
96;2021-05;92130.365;Milchprodukte
97;2021-05;402.1;Non Food
98;2021-05;24918.651;Nordsee
99;2021-05;10188;Oel/Essig/Senf
100;2021-05;14463.701;Pasteten/Terrinen
101;2021-05;80441.29;Pilze
102;2021-05;934.4;Post/cargo
103;2021-05;73750.21;Teigw./Spätzli/Gnoc.
104;2021-06;19821;Bofrost
105;2021-06;475335.868;Convenience
106;2021-06;4581.919;Federwild
107;2021-06;5902824.584;Fisch
108;2021-06;2825594.888;Fleisch
109;2021-06;19461.65;Früchte
110;2021-06;2402701.305;Geflügel
111;2021-06;42437.6;Gemüse
112;2021-06;140948.632;Haarwild
113;2021-06;9912.45;Kolonialwaren
114;2021-06;10643.715;Konserven divers
115;2021-06;2224515.497;Krusten/Sch-Weichtie
116;2021-06;147528.83;Milchprodukte
117;2021-06;2737.3;Non Food
118;2021-06;25638.734;Nordsee
119;2021-06;18438.55;Oel/Essig/Senf
120;2021-06;17559.483;Pasteten/Terrinen
121;2021-06;104694.874;Pilze
122;2021-06;2486;Post/cargo
123;2021-06;0;Sponsoring
124;2021-06;93240.62;Teigw./Spätzli/Gnoc.
125;2021-07;48536;Bofrost
126;2021-07;429649.722;Convenience
127;2021-07;7962.802;Federwild
128;2021-07;6382119.94;Fisch
129;2021-07;3175651.016;Fleisch
130;2021-07;16376.6;Früchte
131;2021-07;2496231.068;Geflügel
132;2021-07;50481.6;Gemüse
133;2021-07;148282.635;Haarwild
134;2021-07;10372.55;Kolonialwaren
135;2021-07;11088.95;Konserven divers
136;2021-07;2546784.132;Krusten/Sch-Weichtie
137;2021-07;159787.884;Milchprodukte
138;2021-07;1921;Non Food
139;2021-07;29143.561;Nordsee
140;2021-07;17901.55;Oel/Essig/Senf
141;2021-07;23613.443;Pasteten/Terrinen
142;2021-07;114383.5;Pilze
143;2021-07;931.4;Post/cargo
144;2021-07;91571.62;Teigw./Spätzli/Gnoc.
145;2021-08;13020;Bofrost
146;2021-08;558391.373;Convenience
147;2021-08;6543.366;Federwild
148;2021-08;6614904.953;Fisch
149;2021-08;3279399.664;Fleisch
150;2021-08;28315.3;Früchte
151;2021-08;2887007.341;Geflügel
152;2021-08;60591.25;Gemüse
153;2021-08;333013.663;Haarwild
154;2021-08;11995.65;Kolonialwaren
155;2021-08;11471.4;Konserven divers
156;2021-08;2620228.457;Krusten/Sch-Weichtie
157;2021-08;162033.923;Milchprodukte
158;2021-08;1575.5;Non Food
159;2021-08;26424.732;Nordsee
160;2021-08;21262.75;Oel/Essig/Senf
161;2021-08;23169.937;Pasteten/Terrinen
162;2021-08;157650.34;Pilze
163;2021-08;1152.4;Post/cargo
164;2021-08;117509.634;Teigw./Spätzli/Gnoc.
165;2021-09;37948.8;Bofrost
166;2021-09;511859.648;Convenience
167;2021-09;15174.597;Federwild
168;2021-09;5945025.188;Fisch
169;2021-09;3042175.476;Fleisch
170;2021-09;22074.8;Früchte
171;2021-09;2862517.071;Geflügel
172;2021-09;57930;Gemüse
173;2021-09;810054.483;Haarwild
174;2021-09;11503.45;Kolonialwaren
175;2021-09;12786.393;Konserven divers
176;2021-09;2245514.384;Krusten/Sch-Weichtie
177;2021-09;137041.003;Milchprodukte
178;2021-09;579.3;Non Food
179;2021-09;26565.115;Nordsee
180;2021-09;20627.9;Oel/Essig/Senf
181;2021-09;26061.718;Pasteten/Terrinen
182;2021-09;186281.516;Pilze
183;2021-09;990.8;Post/cargo
184;2021-09;135172.574;Teigw./Spätzli/Gnoc.
185;2021-10;8600;Bofrost
186;2021-10;500536.003;Convenience
187;2021-10;21623.845;Federwild
188;2021-10;5155016.439;Fisch
189;2021-10;2614957.175;Fleisch
190;2021-10;20039.2;Früchte
191;2021-10;2659871.425;Geflügel
192;2021-10;46748.65;Gemüse
193;2021-10;199.742;Gesperrte Artikel
194;2021-10;949875.116;Haarwild
195;2021-10;9072.9;Kolonialwaren
196;2021-10;11132.56;Konserven divers
197;2021-10;2100746.266;Krusten/Sch-Weichtie
198;2021-10;103385.268;Milchprodukte
199;2021-10;3558.2;Non Food
200;2021-10;32429.736;Nordsee
201;2021-10;14099.425;Oel/Essig/Senf
202;2021-10;25092.783;Pasteten/Terrinen
203;2021-10;204864.46;Pilze
204;2021-10;519.4;Post/cargo
205;2021-10;126317.68;Teigw./Spätzli/Gnoc.
206;2021-11;163606.199;Bofrost
207;2021-11;497931.868;Convenience
208;2021-11;12620.35;Federwild
209;2021-11;4975106.393;Fisch
210;2021-11;2704117.121;Fleisch
211;2021-11;20234.2;Früchte
212;2021-11;2652108.158;Geflügel
213;2021-11;42281.1;Gemüse
214;2021-11;483549.258;Haarwild
215;2021-11;10865.2;Kolonialwaren
216;2021-11;12130.949;Konserven divers
217;2021-11;2135974.012;Krusten/Sch-Weichtie
218;2021-11;95198.534;Milchprodukte
219;2021-11;662.5;Non Food
220;2021-11;36181.072;Nordsee
221;2021-11;16737.845;Oel/Essig/Senf
222;2021-11;26976.11;Pasteten/Terrinen
223;2021-11;217205.86;Pilze
224;2021-11;529.2;Post/cargo
225;2021-11;6840.76;Rabatte
226;2021-11;0;Sponsoring
227;2021-11;109448.83;Teigw./Spätzli/Gnoc.
228;2021-12;110316.5;Bofrost
229;2021-12;470173.235;Convenience
230;2021-12;8856.033;Federwild
231;2021-12;6218399.44;Fisch
232;2021-12;3218896.813;Fleisch
233;2021-12;19190.15;Früchte
234;2021-12;2794316.89;Geflügel
235;2021-12;48241.35;Gemüse
236;2021-12;205077.384;Haarwild
237;2021-12;11491.85;Kolonialwaren
238;2021-12;13419.98;Konserven divers
239;2021-12;2927349.156;Krusten/Sch-Weichtie
240;2021-12;118938.637;Milchprodukte
241;2021-12;2095.8;Non Food
242;2021-12;34296.954;Nordsee
243;2021-12;19370.775;Oel/Essig/Senf
244;2021-12;54432.679;Pasteten/Terrinen
245;2021-12;331114.44;Pilze
246;2021-12;8128.4;Post/cargo
247;2021-12;0;Sponsoring
248;2021-12;116529.31;Teigw./Spätzli/Gnoc.
249;2022-01;203303.2;Bofrost
250;2022-01;545455.752;Convenience
251;2022-01;6707.142;Federwild
252;2022-01;6147074.367;Fisch
253;2022-01;3374453.217;Fleisch
254;2022-01;22734.55;Früchte
255;2022-01;3037368.513;Geflügel
256;2022-01;53305.4;Gemüse
257;2022-01;42682.026;Gesperrte Artikel
258;2022-01;286732.752;Haarwild
259;2022-01;11045.432;Kolonialwaren
260;2022-01;11218.15;Konserven divers
261;2022-01;2634218.552;Krusten/Sch-Weichtie
262;2022-01;148259.267;Milchprodukte
263;2022-01;412.2;Non Food
264;2022-01;34434.839;Nordsee
265;2022-01;16561.8;Oel/Essig/Senf
266;2022-01;25938.63;Pasteten/Terrinen
267;2022-01;192987.098;Pilze
268;2022-01;609.6;Post/cargo
269;2022-01;222.3;Rabatte
270;2022-01;0;Sponsoring
271;2022-01;135432.735;Teigw./Spätzli/Gnoc.
272;2022-02;32313.452;Bofrost
273;2022-02;557220.131;Convenience
274;2022-02;9501.188;Federwild
275;2022-02;5948757.647;Fisch
276;2022-02;3237101.108;Fleisch
277;2022-02;27023.3;Früchte
278;2022-02;2983434.704;Geflügel
279;2022-02;57946.59;Gemüse
280;2022-02;29337.178;Gesperrte Artikel
281;2022-02;196491.408;Haarwild
282;2022-02;12417.07;Kolonialwaren
283;2022-02;15270.321;Konserven divers
284;2022-02;2573324.527;Krusten/Sch-Weichtie
285;2022-02;144892.493;Milchprodukte
286;2022-02;903.4;Non Food
287;2022-02;23462.885;Nordsee
288;2022-02;17904.35;Oel/Essig/Senf
289;2022-02;26698.844;Pasteten/Terrinen
290;2022-02;181800.78;Pilze
291;2022-02;401.6;Post/cargo
292;2022-02;117850.785;Teigw./Spätzli/Gnoc.
293;2022-03;0;Bofrost
294;2022-03;639089.496;Convenience
295;2022-03;8050.467;Federwild
296;2022-03;6801493.636;Fisch
297;2022-03;3571587.42;Fleisch
298;2022-03;23189.1;Früchte
299;2022-03;3490340.59;Geflügel
300;2022-03;67694.7;Gemüse
301;2022-03;24317.721;Gesperrte Artikel
302;2022-03;218258.917;Haarwild
303;2022-03;13433.43;Kolonialwaren
304;2022-03;13833.977;Konserven divers
305;2022-03;2784553.184;Krusten/Sch-Weichtie
306;2022-03;168315.046;Milchprodukte
307;2022-03;2866.5;Non Food
308;2022-03;28702.42;Nordsee
309;2022-03;16069;Oel/Essig/Senf
310;2022-03;24939.133;Pasteten/Terrinen
311;2022-03;184257.95;Pilze
312;2022-03;444.8;Post/cargo
313;2022-03;152285.58;Teigw./Spätzli/Gnoc.
314;2022-04;21989;Bofrost
315;2022-04;582580.305;Convenience
316;2022-04;8253.612;Federwild
317;2022-04;6642098.499;Fisch
318;2022-04;3330425.516;Fleisch
319;2022-04;26247.7;Früchte
320;2022-04;3149382.734;Geflügel
321;2022-04;74201.95;Gemüse
322;2022-04;17868.994;Gesperrte Artikel
323;2022-04;185829.359;Haarwild
324;2022-04;11173.18;Kolonialwaren
325;2022-04;14138.716;Konserven divers
326;2022-04;2612167.185;Krusten/Sch-Weichtie
327;2022-04;161137.721;Milchprodukte
328;2022-04;1980.6;Non Food
329;2022-04;31345.606;Nordsee
330;2022-04;20360.25;Oel/Essig/Senf
331;2022-04;25514.015;Pasteten/Terrinen
332;2022-04;146452.474;Pilze
333;2022-04;408.6;Post/cargo
334;2022-04;125299.44;Teigw./Spätzli/Gnoc.
335;2022-05;37096.4;Bofrost
336;2022-05;686159.006;Convenience
337;2022-05;6970.46;Federwild
338;2022-05;7256401.116;Fisch
339;2022-05;3863725.731;Fleisch
340;2022-05;28603.7;Früchte
341;2022-05;3489737.304;Geflügel
342;2022-05;81023.1;Gemüse
343;2022-05;31606.252;Gesperrte Artikel
344;2022-05;189253.212;Haarwild
345;2022-05;11968.13;Kolonialwaren
346;2022-05;17757.82;Konserven divers
347;2022-05;2909700.529;Krusten/Sch-Weichtie
348;2022-05;204394.205;Milchprodukte
349;2022-05;2470.1;Non Food
350;2022-05;34029.309;Nordsee
351;2022-05;24886.25;Oel/Essig/Senf
352;2022-05;26761.888;Pasteten/Terrinen
353;2022-05;157305.52;Pilze
354;2022-05;813;Post/cargo
355;2022-05;928.5;Sponsoring
356;2022-05;130413.12;Teigw./Spätzli/Gnoc.
357;2022-06;2728.32;Bofrost
358;2022-06;737580.202;Convenience
359;2022-06;7673.518;Federwild
360;2022-06;7693158.989;Fisch
361;2022-06;3673732.268;Fleisch
362;2022-06;34857.35;Früchte
363;2022-06;3504066.436;Geflügel
364;2022-06;75863.55;Gemüse
365;2022-06;26788.067;Gesperrte Artikel
366;2022-06;165630.563;Haarwild
367;2022-06;13816.32;Kolonialwaren
