;t100;indep;t900;a201
0;2021-01;0;104158.512;Convenience
1;2021-01;0;1467.882;Federwild
2;2021-01;0;1584898.635;Fisch
3;2021-01;0;913104.717;Fleisch
4;2021-01;0;4347.4;Früchte
5;2021-01;0;898799.697;Geflügel
6;2021-01;0;12694.7;Gemüse
7;2021-01;0;82725.701;Haarwild
8;2021-01;0;1677.55;Kolonialwaren
9;2021-01;0;3499.75;Konserven divers
10;2021-01;0;562900.181;Krusten/Sch-Weichtie
11;2021-01;0;26470.755;Milchprodukte
12;2021-01;0;47;Non Food
13;2021-01;0;518.2;Nordsee
14;2021-01;0;2582.6;Oel/Essig/Senf
15;2021-01;0;6082.913;Pasteten/Terrinen
16;2021-01;0;41521.3;Pilze
17;2021-01;0;742.4;Post/cargo
18;2021-01;0;28385.58;Teigw./Spätzli/Gnoc.
19;2021-01;1;229897.361;Convenience
20;2021-01;1;1862.415;Federwild
21;2021-01;1;2120082.847;Fisch
22;2021-01;1;1050056.955;Fleisch
23;2021-01;1;6159.8;Früchte
24;2021-01;1;1032601.093;Geflügel
25;2021-01;1;14565.8;Gemüse
26;2021-01;1;89596.448;Haarwild
27;2021-01;1;3679.6;Kolonialwaren
28;2021-01;1;3400.1;Konserven divers
29;2021-01;1;640019.864;Krusten/Sch-Weichtie
30;2021-01;1;30975.819;Milchprodukte
31;2021-01;1;63;Non Food
32;2021-01;1;21378.589;Nordsee
33;2021-01;1;4992.2;Oel/Essig/Senf
34;2021-01;1;9992.347;Pasteten/Terrinen
35;2021-01;1;35617.01;Pilze
36;2021-01;1;234.4;Post/cargo
37;2021-01;1;38934.12;Teigw./Spätzli/Gnoc.
38;2021-02;0;91291.302;Convenience
39;2021-02;0;2885.59;Federwild
40;2021-02;0;1672904.696;Fisch
41;2021-02;0;910849.226;Fleisch
42;2021-02;0;5831.5;Früchte
43;2021-02;0;806759.344;Geflügel
44;2021-02;0;9375.811;Gemüse
45;2021-02;0;110077.186;Haarwild
46;2021-02;0;2407.25;Kolonialwaren
47;2021-02;0;2455.5;Konserven divers
48;2021-02;0;634616.681;Krusten/Sch-Weichtie
49;2021-02;0;32555.316;Milchprodukte
50;2021-02;0;123.1;Non Food
51;2021-02;0;1712.6;Nordsee
52;2021-02;0;3794.85;Oel/Essig/Senf
53;2021-02;0;8427.622;Pasteten/Terrinen
54;2021-02;0;52164.78;Pilze
55;2021-02;0;606.6;Post/cargo
56;2021-02;0;27766.58;Teigw./Spätzli/Gnoc.
57;2021-02;1;0;Bofrost
58;2021-02;1;169222.68;Convenience
59;2021-02;1;975.032;Federwild
60;2021-02;1;1897833.653;Fisch
61;2021-02;1;950619.25;Fleisch
62;2021-02;1;6300.6;Früchte
63;2021-02;1;851728.277;Geflügel
64;2021-02;1;20573.5;Gemüse
65;2021-02;1;90.342;Gesperrte Artikel
66;2021-02;1;62354.098;Haarwild
67;2021-02;1;4502.1;Kolonialwaren
68;2021-02;1;2893.3;Konserven divers
69;2021-02;1;663567.698;Krusten/Sch-Weichtie
